City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
553,sabang,5.8933,95.3214,27.49,75,80,1.93,ID,1702261046
554,pekanbaru,0.5333,101.45,28.18,83,20,1.54,ID,1702261046
555,ober-saulheim,49.8642,8.1411,10.47,96,72,1.34,DE,1702261047
556,chortkiv,49.0171,25.798,-2.1,94,100,2.26,UA,1702261048
557,ramanuj ganj,23.8,83.7,13.8,64,0,1.23,IN,1702261048
558,tomesti,47.1167,27.6833,-1.22,95,100,2.57,RO,1702261048
559,ust'-kut,56.7938,105.7672,-35.31,99,57,0.45,RU,1702261049
560,moranbah,-22.0016,148.0466,24.67,63,100,10.45,AU,1702261049
561,hassi messaoud,31.6804,6.0729,12.84,46,81,3.82,DZ,1702261050
562,chonglong,29.7806,104.8522,13.73,86,100,1.53,CN,1702261050
563,minab,27.1467,57.0801,19.64,48,94,1.13,IR,1702261050
564,ha'il,27.5219,41.6907,13.01,47,0,4.12,SA,1702261051
565,rio brilhante,-21.8019,-54.5464,22.0,98,100,1.47,BR,1702261052
566,kone,-21.0595,164.8658,30.94,40,100,2.75,NC,1702261052
567,brookings,44.3114,-96.7984,-6.08,89,0,0.0,US,1702260985
568,buka,40.8108,69.1986,3.22,60,100,0.92,UZ,1702261053
569,tionk essil,12.7856,-16.5217,21.03,50,100,2.41,SN,1702261054
570,fairfield,41.2668,-73.3162,15.94,83,100,8.75,US,1702261054
571,bornu yassu,12.2774,12.5552,17.55,31,46,4.55,NG,1702261055
572,rio grande,-32.035,-52.0986,19.97,87,98,7.84,BR,1702261055
573,sirte,31.2089,16.5887,18.31,68,83,12.07,LY,1702261056
574,rudbar,30.15,62.6,11.86,35,7,0.42,AF,1702261057
575,tintafor,8.6267,-13.215,26.61,79,56,1.98,SL,1702261057
576,alto barinas,8.5931,-70.2261,25.63,70,90,2.61,VE,1702261058
577,holualoa,19.6228,-155.9522,25.99,75,40,2.06,US,1702261058
578,pago pago,-14.2781,-170.7025,29.55,89,75,3.6,AS,1702261059
579,hailey,43.5196,-114.3153,-1.08,79,100,0.0,US,1702260812
580,rhinelander,45.6366,-89.4121,-4.82,79,100,2.06,US,1702261011
581,tranqueras,-31.2,-55.75,16.08,98,0,1.91,UY,1702261060
582,wanning,18.8003,110.3967,25.8,77,65,1.27,CN,1702261060
